userid,movieid,rating,timestamp
1,1,5.0,847117005
1,2,3.0,847642142
1,10,3.0,847641896
1,32,4.0,847642008
1,34,4.0,847641956
1,47,3.0,847641956
1,50,4.0,847642073
1,62,4.0,847642105
1,150,4.0,847116751
1,153,3.0,847116787
1,160,3.0,847642008
1,161,4.0,847641896
1,165,4.0,847116787
1,185,3.0,847641919
1,208,3.0,847641919
1,253,3.0,847641919
1,265,5.0,847642048
1,266,3.0,847642118
1,288,5.0,847641938
1,292,4.0,847116936
1,296,5.0,847116752
1,300,5.0,847641973
1,316,3.0,847116893
1,318,5.0,847116937
1,329,4.0,847116936
1,344,3.0,847116787
1,349,4.0,847116893
1,350,4.0,847642142
1,356,5.0,847116893
1,357,4.0,847641988
1,364,4.0,847641938
1,367,4.0,847641956
1,377,3.0,847641938
1,380,4.0,847116753
1,434,3.0,847116936
1,454,4.0,847641938
1,457,4.0,847116787
1,480,5.0,847116936
1,500,3.0,847641956
2,1,3.0,833971988
2,2,3.0,833972306
2,11,3.0,833972269
2,17,5.0,833972306
2,19,4.0,833972107
2,21,3.0,833972077
2,34,5.0,833972077
2,39,3.0,833972138
2,47,2.0,833972077
2,95,3.0,833972269
2,150,4.0,833971704
2,153,3.0,833971811
2,160,3.0,833972138
2,161,4.0,833971947
2,165,2.0,833971811
2,173,2.0,833972172
2,185,3.0,833971988
2,186,3.0,833972269
2,196,2.0,833972241
2,208,3.0,833971988
2,225,3.0,833972077
2,231,3.0,833971888
2,236,4.0,833972172
2,252,3.0,833972241
2,253,4.0,833971988
2,266,4.0,833972107
2,282,4.0,833972172
2,288,1.0,833971988
2,293,3.0,833972306
2,300,4.0,833972037
2,317,5.0,833972077
2,318,5.0,833971888
2,329,3.0,833971888
2,337,4.0,833972172
2,339,4.0,833971947
2,344,4.0,833971811
2,349,4.0,833971811
2,364,5.0,833972241
2,367,5.0,833972306
2,410,3.0,833972037
3,163,4.5,1111981513
3,172,2.0,1111981545
3,260,5.0,1111982680
3,370,4.0,1111981466
3,432,3.0,1111981411
3,466,3.0,1111981458
3,502,3.5,1111982333
3,832,3.5,1111981434
4,32,4.5,1294768736
4,163,3.0,1294768511
4,172,3.0,1294768534
4,315,3.0,1294768583
4,318,5.0,1294768757
4,370,3.0,1294768485
4,435,2.0,1294768505
4,555,4.0,1294768481
5,1,4.0,1040175819
5,5,3.0,1041555250
5,6,4.0,1040175782
5,11,4.0,1040177817
5,14,4.0,1041553811
5,16,5.0,1040175620
5,21,5.0,1041553954
5,32,5.0,1040175739
5,39,4.0,1040449199
5,45,4.0,1040449041
5,47,5.0,1040449396
5,50,5.0,1040447967
5,52,5.0,1040176548
5,89,3.0,1041555524
5,105,5.0,1041555655
5,110,4.0,1040175397
5,111,5.0,1040174631
5,141,5.0,1041555454
5,150,4.0,1040175308
5,151,4.0,1040178448
5,161,4.0,1040449772
5,162,5.0,1040175416
5,171,5.0,1040449598
5,175,4.0,1041553954
5,180,4.0,1040174304
5,194,5.0,1040177461
5,223,5.0,1040174284
5,225,3.0,1040178022
5,231,2.0,1040178060
5,235,4.0,1040448601
5,253,5.0,1041555276
5,260,3.0,1040175191
5,265,4.0,1040175948
5,272,4.0,1040175397
5,282,4.0,1041555484
5,296,5.0,1040174763
5,299,3.0,1040176295
5,300,5.0,1040448691
5,318,5.0,1040175135
5,321,5.0,1040174587
5,322,4.0,1040176279
5,337,4.0,1040448640
5,345,5.0,1040176682
5,349,4.0,1041554101
5,353,4.0,1041555327
5,356,2.0,1041554822
5,363,5.0,1040176497
5,364,3.0,1041554726
5,367,4.0,1040178107
5,373,5.0,1040176803
5,377,4.0,1040177461
5,380,3.0,1041555061
5,428,4.0,1040175805
5,431,4.0,1040178123
5,441,4.0,1040177406
5,446,4.0,1040176466
5,457,3.0,1040449260
5,471,5.0,1040177238
5,477,5.0,1041554054
5,480,4.0,1041554701
5,486,2.0,1040447891
5,488,5.0,1040178503
5,491,4.0,1041555362
5,508,5.0,1040177358
5,509,5.0,1040176937
5,515,4.0,1040449139
5,527,5.0,1040448300
5,532,4.0,1041555961
5,538,5.0,1040177724
5,539,3.0,1041555939
5,541,5.0,1040174617
5,551,4.0,1040177057
5,553,3.0,1041554330
5,581,5.0,1040448492
5,585,3.0,1041554840
5,588,4.0,1041555176
5,589,4.0,1040177057
5,590,4.0,1041553695
5,592,4.0,1040176426
5,593,5.0,1040174806
5,594,5.0,1040177126
5,595,3.0,1041554553
5,596,3.0,1040177282
5,597,3.0,1041555585
5,599,3.0,1040448580
5,608,5.0,1040174475
5,610,4.0,1041555759
5,628,4.0,1040178367
5,648,4.0,1041554726
5,663,4.0,1040176820
5,671,4.0,1040178431
5,708,4.0,1041555550
5,722,5.0,1040178267
5,733,3.0,1041554822
5,750,5.0,1040447950
5,766,5.0,1040177854
5,778,5.0,1040175291
5,832,4.0,1041554971
5,851,5.0,1040449480
5,858,5.0,1040174349
5,897,3.0,1041556044
5,898,4.0,1040448092
5,899,3.0,1040174602
5,900,3.0,1040448832
5,902,4.0,1040448816
5,903,5.0,1040174617
5,904,5.0,1040174396
5,905,3.0,1040448005
5,908,5.0,1040174206
5,909,3.0,1041552877
5,910,5.0,1040448109
5,911,4.0,1040176380
5,912,4.0,1040447967
5,913,4.0,1040174497
5,914,3.0,1040449015
5,915,4.0,1040175709
5,916,3.0,1040448517
5,918,2.0,1041552970
5,919,5.0,1040174617
5,920,5.0,1040176135
5,921,4.0,1040175077
5,922,5.0,1040448005
5,923,5.0,1040174349
5,924,5.0,1040174722
5,926,3.0,1040174564
5,927,4.0,1040176737
5,928,5.0,1040175191
5,930,4.0,1040448151
5,931,4.0,1041553014
5,933,4.0,1040448912
5,934,4.0,1040177535
5,938,4.0,1041553794
5,940,3.0,1040174564
5,941,3.0,1041553552
5,942,4.0,1041552710
5,943,4.0,1041553173
5,944,3.0,1040176820
5,945,4.0,1041553265
5,946,3.0,1041553842
5,947,4.0,1041552890
5,948,5.0,1040177645
5,949,5.0,1040174676
5,950,3.0,1040447937
5,951,4.0,1040174775
5,952,4.0,1040176153
5,953,2.0,1040176279
5,954,3.0,1040448456
5,955,3.0,1040174832
5,965,3.0,1040174514
5,968,3.0,1040175460
5,969,5.0,1040448374
5,971,4.0,1040174722
5,982,3.0,1040178267
5,1012,3.0,1040177444
5,1018,3.0,1041555913
5,1019,5.0,1041555434
5,1022,3.0,1040449659
5,1029,4.0,1040177424
5,1034,4.0,1040177702
5,1035,2.0,1040449156
5,1036,3.0,1040175638
5,1044,4.0,1040449058
5,1046,5.0,1040448287
5,1059,4.0,1041553612
5,1060,4.0,1041553187
5,1073,3.0,1040175805
5,1076,5.0,1040174763
5,1077,4.0,1040448207
5,1078,3.0,1040176030
6,1,4.0,1206786881
6,2,3.0,1206787921
6,6,4.0,1206787694
6,10,4.0,1206787238
6,16,4.0,1206788269
6,19,3.0,1206787998
6,21,4.0,1349628203
6,39,3.0,1382167727
6,47,4.0,1206787074
6,50,4.0,1227218624
6,62,4.0,1206787859
6,63,3.0,1227220413
6,70,3.5,1227219453
6,72,3.0,1227220410
6,104,4.0,1206788351
6,111,4.0,1206787933
6,145,4.0,1206786558
6,153,3.0,1206787115
6,165,3.5,1206787058
6,215,5.0,1206788686
6,223,4.0,1349626646
6,231,3.0,1206787276
6,260,4.0,1206787233
6,293,5.0,1206787874
6,316,2.5,1227470721
6,318,5.0,1206786951
6,344,2.5,1218232360
6,353,4.0,1232886820
6,356,4.0,1227219313
6,364,3.0,1218232353
6,367,2.5,1206787194
6,368,4.0,1349628258
6,377,3.5,1206786970
6,380,3.5,1206787089
6,413,3.5,1206786658
6,420,3.5,1206788182
6,434,3.0,1206787505
6,442,4.0,1230583764
6,454,3.5,1206787380
6,466,3.0,1206786517
6,480,3.5,1206786873
6,500,3.0,1206787216
6,520,2.5,1206786527
6,553,3.5,1206788274
6,586,3.5,1349628182
6,588,4.0,1206786904
6,589,4.0,1206787010
6,592,4.0,1206786869
6,595,3.0,1349628153
6,608,3.0,1240947585
6,628,4.0,1239395073
6,648,4.0,1206787145
6,733,5.0,1206787208
6,736,3.0,1206787299
6,750,4.0,1206788131
6,778,4.0,1227218886
7,50,4.5,1149269821
7,58,3.5,1149269656
7,112,4.5,1149269593
7,520,4.0,1149269715
7,745,4.5,1149269857
8,1,3.0,1361982109
8,2,2.5,1361982493
8,6,3.0,1361982447
8,10,2.5,1361898644
8,16,4.5,1361982696
8,18,4.0,1362003733
8,19,2.0,1361981698
8,21,2.5,1393534462
8,24,3.5,1362003259
8,25,3.5,1362422287
8,29,4.5,1361981827
8,32,4.0,1361542119
8,34,2.5,1361982375
8,47,4.5,1361982285
8,50,4.5,1393629257
8,70,3.5,1362001605
8,110,3.0,1361982185
8,111,4.5,1361982106
8,153,2.5,1361982318
8,163,3.5,1362001270
8,165,4.0,1361981694
8,170,2.0,1361981822
8,172,4.0,1362001567
8,173,4.0,1362001251
8,208,4.5,1361981686
8,231,3.0,1361982359
8,235,3.0,1361898860
8,253,4.0,1361982410
8,256,1.5,1393536741
8,260,4.0,1361982256
8,261,2.5,1393536682
8,288,4.5,1361981683
8,292,3.0,1393536009
8,293,5.0,1361982046
8,296,4.5,1362001053
8,316,3.0,1361981683
8,318,4.0,1361541739
8,319,4.0,1362475689
8,327,3.5,1362003406
8,344,2.5,1361982291
8,345,2.5,1362001703
8,353,4.5,1361982749
8,356,4.5,1361982251
8,357,3.0,1361982421
8,364,2.5,1361982304
8,367,2.5,1361898629
8,368,3.0,1393536299
8,370,3.5,1362001258
8,377,3.0,1361982294
8,380,3.0,1361982277
8,413,3.0,1362003612
8,420,2.0,1362001234
8,428,4.0,1362408910
8,434,4.0,1361982425
8,435,2.5,1393536426
8,442,4.0,1361898626
8,455,2.5,1362002466
8,457,2.5,1393535517
8,466,3.0,1362001530
8,480,4.0,1361898624
8,485,2.5,1362001543
8,500,2.0,1361982332
8,509,4.0,1361982704
8,520,2.0,1362001246
8,527,4.0,1361541747
8,541,4.0,1361898421
8,551,4.5,1361982023
8,586,2.0,1393535998
8,589,4.0,1361542079
8,590,4.5,1361982274
8,592,4.0,1361982264
8,593,4.5,1361898552
8,597,3.0,1361982370
8,608,4.0,1361898622
8,610,2.0,1361541295
8,648,3.5,1361982297
8,733,3.5,1361982371
8,737,2.5,1361541565
8,741,4.0,1394357334
8,743,2.5,1362003474
8,750,4.5,1361982490
8,778,5.0,1361981661
8,780,3.0,1361982263
8,784,2.0,1393536393
8,786,3.5,1361982699
8,788,1.5,1361982657
8,832,3.5,1362001266
8,839,4.0,1361541574
8,858,4.5,1361541742
8,912,3.5,1361541751
8,923,3.0,1361981802
9,17,3.0,966909753
9,32,2.0,966909693
9,34,5.0,966909753
9,36,4.0,966909582
9,39,2.0,966909808
9,43,3.0,970889489
9,50,5.0,966909582
9,110,5.0,966909716
9,150,4.0,966909753
9,223,3.0,970889175
9,235,4.0,966909627
9,247,3.0,966909558
9,253,4.0,966907350
9,265,3.0,966909664
9,300,3.0,966909808
9,318,5.0,966909512
9,407,4.0,970889359
9,428,3.0,966909808
9,434,3.0,966907813
9,481,4.0,966907601
9,482,4.0,966907500
9,527,4.0,966906979
9,555,4.0,966909847
9,562,4.0,966909716
9,593,5.0,966909526
9,608,4.0,966907389
9,671,1.0,966909788
9,780,3.0,966907423
9,785,3.0,970889359
9,898,5.0,966909411
9,902,3.0,966906958
9,903,4.0,966908666
9,904,5.0,966908666
9,908,5.0,966908638
9,915,5.0,966909211
9,923,4.0,966909349
9,930,5.0,966909362
9,932,5.0,966909258
9,948,3.0,966909275
9,949,4.0,966908666
10,207,3.5,1117607953
10,595,3.5,1118025737
10,596,4.0,1117607807
10,832,4.0,1117607755
10,851,2.0,1118025686
10,899,4.5,1117607856
10,1092,3.5,1117607839
11,1,3.0,997878562
11,2,2.0,940892511
11,6,3.0,997786169
11,10,2.0,997786062
11,14,2.0,997786663
11,17,4.0,943174551
11,21,3.0,997786062
11,32,1.0,997878669
11,34,5.0,943174551
11,44,3.0,942313044
11,48,3.0,997877826
11,50,3.0,997878670
11,70,3.0,942312620
11,112,2.0,997878049
11,144,3.0,977036724
11,150,3.0,997638649
11,151,4.0,943174824
11,153,2.0,997638738
11,160,1.0,997762814
11,163,3.0,942313044
11,165,2.0,997762885
11,180,3.0,997786442
11,181,2.0,997786525
11,185,2.0,940544701
11,196,2.0,940544752
11,208,1.0,942313214
11,223,3.0,997762683
11,230,3.0,943175348
11,253,2.0,997786270
11,256,2.0,940544752
11,260,4.0,1041384642
11,273,1.0,997786525
11,293,3.0,940545356
11,296,4.0,940545355
11,300,3.0,997877937
11,313,3.0,997878445
11,316,2.0,940544700
11,318,4.0,955809354
11,329,2.0,997878367
11,346,3.0,942313862
11,348,4.0,984810922
11,349,3.0,997762683
11,353,3.0,997762814
11,364,3.0,940893102
11,367,2.0,940892424
11,368,2.0,997786525
11,377,3.0,997878367
11,379,2.0,940544700
11,380,3.0,997878670
11,417,3.0,997878899
11,426,3.0,997638840
11,434,1.0,997762683
11,442,2.0,997762814
11,454,2.0,997763075
11,457,4.0,997763076
11,464,3.0,942313352
11,471,1.0,997786169
11,474,3.0,997786270
11,480,3.0,997786352
11,481,1.0,943174824
11,485,2.0,997786352
11,490,2.0,977036692
11,492,3.0,1010519999
11,509,3.0,997877826
11,515,3.0,997877937
11,517,2.0,942313306
11,529,3.0,997878158
11,533,2.0,997878159
11,535,2.0,997878273
11,541,3.0,997638840
11,551,3.0,997786663
11,552,2.0,942313270
11,555,3.0,997878670
11,588,4.0,940893042
11,589,4.0,940544292
11,590,3.0,997762815
11,592,4.0,942312795
11,593,3.0,997878273
11,594,3.0,997878273
11,595,5.0,940893042
11,596,3.0,997877826
11,608,4.0,943174678
11,616,2.0,997638650
11,648,3.0,942312795
11,653,2.0,940892541
11,661,3.0,997786270
11,671,3.0,997786663
11,673,1.0,940892541
11,720,4.0,997878670
11,733,2.0,997878049
11,736,1.0,997878670
11,745,4.0,997762683
11,750,4.0,955809407
11,780,2.0,940544343
11,783,3.0,940893202
11,786,2.0,997762975
11,788,3.0,997786663
11,799,3.0,942614702
11,804,2.0,997878273
11,832,2.0,997877937
11,836,1.0,997762683
11,858,3.0,1010519683
11,861,3.0,997878445
11,898,4.0,955809892
11,899,4.0,997878273
11,903,3.0,997878671
11,904,4.0,1021812310
11,908,5.0,944388722
11,909,4.0,944389368
11,910,4.0,955809309
11,912,4.0,940545198
11,913,4.0,997786442
11,914,3.0,1010520058
11,916,4.0,1021812347
11,919,4.0,997878758
11,923,4.0,940545356
11,924,3.0,940544292
11,928,3.0,997877937
11,929,4.0,955809502
11,940,3.0,997638529
11,943,3.0,997786063
11,944,3.0,997786442
11,947,3.0,997786664
11,953,4.0,997786271
11,954,4.0,997786525
11,965,4.0,1028403203
11,969,4.0,942312569
11,973,3.0,1010520000
11,1016,2.0,997878274
11,1022,2.0,997762684
12,44,3.0,848958744
12,95,3.0,848958706
12,135,5.0,848959058
12,153,4.0,848958562
12,189,3.0,848959363
12,191,3.0,848959058
12,230,3.0,848958839
12,253,4.0,848958618
12,277,4.0,848958798
12,292,5.0,848958593
12,296,4.0,848958535
12,316,3.0,848958575
12,317,3.0,848958679
12,327,2.0,848958879
12,329,3.0,848958593
12,344,2.0,848958562
12,345,1.0,848958891
12,355,1.0,848958784
12,356,3.0,848958575
12,357,3.0,848958667
12,368,3.0,848958735
12,377,5.0,848958618
12,405,2.0,848959019
12,434,3.0,848958593
12,435,3.0,848958690
12,454,3.0,848958618
12,466,2.0,848958784
12,475,3.0,848958879
12,480,5.0,848958593
12,500,3.0,848958628
12,533,4.0,848958979
12,550,3.0,848959003
12,551,3.0,848958735
12,587,4.0,848958647
12,589,5.0,848958618
12,592,4.0,848958535
12,594,3.0,848958772
12,597,1.0,848958647
12,610,5.0,848958855
13,5,3.5,1225229442
13,110,2.5,1272898896
13,180,5.0,1225229789
13,196,4.0,1225229498
13,260,3.0,1272898891
13,261,1.0,1225229630
13,296,3.5,1272898886
13,318,3.5,1272898893
13,356,3.0,1272898881
13,432,3.0,1225229452
13,457,1.5,1272898899
13,466,2.0,1225229458
13,471,2.5,1225229592
14,2,4.0,842119824
14,11,4.0,842119583
14,19,3.0,842119311
14,21,4.0,842119349
14,32,4.0,842119487
14,47,3.0,842119268
14,50,3.0,842119349
14,141,5.0,842119903
14,150,5.0,842118959
14,153,3.0,842119011
14,196,3.0,842119824
14,204,2.0,842119903
14,236,3.0,842119583
14,252,4.0,842119858
14,292,3.0,842119111
14,296,4.0,842118960
14,300,5.0,842119267
14,316,5.0,842119053
14,329,3.0,842119111
14,339,4.0,842119166
14,344,3.0,842119011
14,349,5.0,842119010
14,356,3.0,842119166
14,357,5.0,842119537
14,364,4.0,842119267
14,367,4.0,842119311
14,377,4.0,842119311
14,380,4.0,842118961
14,432,3.0,842119537
14,457,5.0,842119053
14,480,4.0,842119218
15,1,4.0,1422651687
15,318,4.0,1422651516
15,356,3.0,1422651635
15,1188,2.0,1422651785
16,303,2.5,1355604031
16,610,2.0,1355603993
16,1037,1.5,1355604021
16,1188,2.0,1355603983
17,605,3.0,1337190535
17,858,5.0,1337193790
17,904,4.0,1337193807
17,934,3.0,1337190474
18,10,5.0,837848698
18,44,3.0,837848864
18,141,4.0,837848849
18,153,3.0,837848642
18,161,5.0,837848686
18,231,3.0,837848664
18,296,4.0,837848621
18,329,4.0,837848664
18,349,4.0,837848642
18,364,4.0,837848729
18,434,3.0,837848686
18,442,3.0,837848837
18,457,5.0,837848686
18,480,3.0,837848729
18,539,3.0,837848803
18,586,2.0,837848803
18,588,3.0,837848642
18,589,3.0,837848769
18,590,3.0,837848621
19,12,3.0,940153823
19,25,4.0,940155433
19,70,3.0,940152329
19,152,3.0,940153823
19,177,4.0,940153273
19,188,3.0,940152329
19,220,3.0,940151853
19,253,4.0,940152329
19,273,3.0,940152461
19,318,3.0,940155293
19,330,2.0,940153273
19,366,3.0,940153273
19,382,2.0,940152614
19,407,3.0,940153273
19,426,4.0,940153404
19,527,5.0,940155546
19,532,3.0,940153145
19,565,3.0,940153145
19,608,4.0,940155433
19,610,3.0,940153145
19,724,3.0,940153145
19,735,4.0,940153005
19,799,3.0,940151853
20,750,5.0,1401286658
20,858,5.0,1401286664
20,904,5.0,1401286730
20,908,5.0,1401286707
20,910,4.0,1401286738
20,912,5.0,1401286636
20,926,4.0,1401286618
20,953,5.0,1401286686
20,954,5.0,1401286166
20,969,4.0,1401286613
21,512,4.0,950912206
21,593,5.0,949097567
21,594,4.0,1089155125
21,1041,4.0,949097567
22,1,3.5,1146842125
22,150,3.5,1146842118
22,153,3.5,1146842148
22,260,3.5,1146842000
22,355,2.0,1146841855
22,356,3.0,1146842104
22,370,3.0,1146841715
22,480,3.0,1146842107
22,520,3.5,1146841755
22,592,3.5,1146842115
22,595,3.5,1146841952
23,10,5.0,837530693
23,19,4.0,837530746
23,110,5.0,837530712
23,150,5.0,837530599
23,153,3.0,837530632
23,160,4.0,837530761
23,161,5.0,837530675
23,165,4.0,837530632
23,173,5.0,837530788
23,185,2.0,837530693
23,208,4.0,837530694
23,225,5.0,837530727
23,231,3.0,837530656
23,253,3.0,837530693
23,292,4.0,837530675
23,296,2.0,837530599
23,316,4.0,837530656
23,318,5.0,837530656
23,329,3.0,837530656
23,349,5.0,837530632
23,356,5.0,837530727
23,364,5.0,837530746
23,367,3.0,837530746
23,410,2.0,837530712
23,420,5.0,837530761
23,434,5.0,837530675
23,435,3.0,837530775
23,454,5.0,837530727
23,457,4.0,837530676
23,480,5.0,837530727
24,1,4.0,1227219047
24,6,4.0,1227219521
24,16,0.5,1227219917
24,17,3.5,1227219317
24,31,1.0,1227217440
24,34,3.5,1227219430
24,36,2.5,1227219137
24,50,4.5,1227217541
24,62,3.0,1227218939
24,105,1.0,1227217374
24,110,3.5,1227218653
24,249,2.0,1227219178
24,260,0.5,1227220636
24,261,1.0,1227217399
24,300,3.0,1227219716
24,318,4.5,1227217536
24,337,3.0,1227220212
24,348,3.5,1227220283
24,356,4.5,1227218071
24,457,2.5,1227218125
24,474,1.5,1227217883
24,475,2.0,1227217445
24,508,4.0,1227217914
24,538,3.5,1227220624
24,589,3.5,1227219783
24,590,3.0,1227217946
24,593,3.5,1227219024
24,628,2.5,1227217349
24,733,3.5,1227219307
24,762,0.5,1227217404
24,838,2.5,1227219155
24,852,1.5,1227217354
24,858,1.0,1227217602
24,899,2.5,1227217455
